# Netuno-F/Galateia-1			LT 12 Jun 2022		StratoLoggerCF (SL-8)	
#t(s)	h (m)
0	0.3048
0.05	0.3048
0.1	0.3048
0.15	0.9144
0.2	1.524
0.25	1.8288
0.3	3.048
0.35	3.048
0.4	4.2672
0.45	4.8768
0.5	5.4864
0.55	6.7056
0.6	8.8392
0.65	10.0584
0.7	11.5824
0.75	13.4112
0.8	16.1544
0.85	18.5928
0.9	20.7264
0.95	24.0792
1	27.1272
1.05	29.5656
1.1	31.6992
1.15	34.4424
1.2	38.1
1.25	40.8432
1.3	43.5864
1.35	46.6344
1.4	49.9872
1.45	53.6448
1.5	56.388
1.55	60.0456
1.6	64.008
1.65	67.056
1.7	69.4944
1.75	73.7616
1.8	76.8096
1.85	80.4672
1.9	84.1248
1.95	87.7824
2	91.44
2.05	94.7928
2.1	98.7552
2.15	102.4128
2.2	106.0704
2.25	109.1184
2.3	113.0808
2.35	115.824
2.4	118.872
2.45	122.5296
2.5	125.8824
2.55	128.3208
2.6	131.9784
2.65	134.7216
2.7	137.7696
2.75	140.5128
2.8	142.9512
2.85	146.6088
2.9	149.0472
2.95	151.4856
3	154.5336
3.05	157.2768
3.1	160.3248
3.15	163.3728
3.2	165.8112
3.25	168.8592
3.3	171.2976
3.35	174.3456
3.4	177.0888
3.45	179.2224
3.5	181.9656
3.55	184.404
3.6	187.1472
3.65	189.5856
3.7	191.4144
3.75	194.1576
3.8	196.2912
3.85	198.7296
3.9	200.8632
3.95	202.9968
4	205.1304
4.05	207.5688
4.1	209.7024
4.15	212.1408
4.2	214.2744
4.25	216.7128
4.3	218.5416
4.35	220.3704
4.4	222.8088
4.45	224.6376
4.5	226.4664
4.55	228.9048
4.6	231.0384
4.65	232.5624
4.7	234.3912
4.75	235.9152
4.8	238.3536
4.85	239.8776
4.9	241.4016
4.95	243.84
5	245.0592
5.05	246.888
5.1	248.7168
5.15	249.936
5.2	251.46
5.25	252.984
5.3	254.8128
5.35	256.3368
5.4	258.1656
5.45	259.08
5.5	260.9088
5.55	262.128
5.6	263.652
5.65	265.176
5.7	266.7
5.75	267.9192
5.8	268.8336
5.85	270.3576
5.9	271.8816
5.95	273.1008
6	273.7104
6.05	275.844
6.1	276.4536
6.15	277.368
6.2	278.5872
6.25	279.8064
6.3	280.416
6.35	281.6352
6.4	282.2448
6.45	283.1592
6.5	284.0736
6.55	285.2928
6.6	285.9024
6.65	286.8168
6.7	287.7312
6.75	288.9504
6.8	289.2552
6.85	290.1696
6.9	290.7792
6.95	291.6936
7	292.608
7.05	292.9128
7.1	293.8272
7.15	294.132
7.2	294.7416
7.25	295.3512
7.3	296.2656
7.35	296.8752
7.4	297.18
7.45	297.4848
7.5	297.7896
7.55	298.3992
7.6	298.3992
7.65	299.6184
7.7	299.6184
7.75	299.9232
7.8	300.228
7.85	300.5328
7.9	301.1424
7.95	301.1424
8	301.1424
8.05	301.752
8.1	302.0568
8.15	302.3616
8.2	302.0568
8.25	302.3616
8.3	302.0568
8.35	302.3616
8.4	302.0568
8.45	302.0568
8.5	302.0568
8.55	302.3616
8.6	302.3616
8.65	303.5808
8.7	301.752
8.75	301.4472
8.8	300.5328
8.85	300.5328
8.9	300.228
8.95	299.9232
9	300.228
9.05	299.9232
9.1	299.0088
9.15	298.704
9.2	298.3992
9.25	297.4848
9.3	297.18
9.35	296.8752
9.4	297.18
9.45	297.7896
9.5	296.2656
9.55	299.6184
9.6	299.3136
9.65	296.8752
9.7	298.704
9.75	295.9608
9.8	300.228
9.85	297.18
9.9	292.3032
9.95	295.0464
10	294.7416
10.05	295.9608
10.1	294.4368
10.15	295.0464
10.2	294.132
10.25	293.8272
10.3	293.2176
10.35	292.9128
10.4	294.7416
10.45	293.8272
10.5	294.132
10.55	291.9984
10.6	291.3888
10.65	290.7792
10.7	290.4744
10.75	290.7792
10.8	290.4744
10.85	290.1696
10.9	289.8648
10.95	288.036
11	288.036
11.05	287.4264
11.1	288.036
11.15	287.7312
11.2	287.4264
11.25	287.1216
11.3	285.9024
11.35	285.5976
11.4	284.988
11.45	284.3784
11.5	284.0736
11.55	283.7688
11.6	282.8544
11.65	283.1592
11.7	282.8544
11.75	282.8544
11.8	282.2448
11.85	281.94
11.9	281.0256
11.95	281.3304
12	280.7208
12.05	279.5016
12.1	279.1968
12.15	279.8064
12.2	279.1968
12.25	279.1968
12.3	278.5872
12.35	277.6728
12.4	276.7584
12.45	276.1488
12.5	275.844
12.55	275.844
12.6	274.9296
12.65	274.9296
12.7	274.9296
12.75	274.32
12.8	273.7104
12.85	273.1008
12.9	272.4912
12.95	272.4912
13	271.8816
13.05	271.272
13.1	271.272
13.15	270.9672
13.2	270.3576
13.25	269.748
13.3	270.0528
13.35	268.8336
13.4	268.5288
13.45	267.6144
13.5	267.3096
13.55	266.7
13.6	266.0904
13.65	266.0904
13.7	265.4808
13.75	265.4808
13.8	264.5664
13.85	264.5664
13.9	263.652
13.95	264.2616
14	263.3472
14.05	263.0424
14.1	261.8232
14.15	261.8232
14.2	261.5184
14.25	260.604
14.3	259.9944
14.35	259.08
14.4	259.3848
14.45	259.08
14.5	258.4704
14.55	257.556
14.6	257.556
14.65	257.2512
14.7	256.032
14.75	256.3368
14.8	256.6416
14.85	256.032
14.9	254.8128
14.95	255.1176
15	254.2032
15.05	253.5936
15.1	253.5936
15.15	252.984
15.2	252.3744
15.25	251.7648
15.3	251.46
15.35	251.1552
15.4	250.8504
15.45	250.2408
15.5	249.6312
15.55	249.6312
15.6	248.7168
15.65	248.412
15.7	247.4976
15.75	247.1928
15.8	246.5832
15.85	246.888
15.9	246.5832
15.95	246.2784
16	246.2784
16.05	245.364
16.1	244.1448
16.15	244.1448
16.2	243.5352
