#Netuno-F/Galateia-2			LT 28 Ago 2022		StratoLoggerCF (SL-9)	
#t(s)	h (m)
0	1.2192
0.05	0.9144
0.1	0.6096
0.15	0.3048
0.2	0.3048
0.25	1.524
0.3	2.1336
0.35	3.048
0.4	3.3528
0.45	3.6576
0.5	4.8768
0.55	6.4008
0.6	7.3152
0.65	9.4488
0.7	11.2776
0.75	13.716
0.8	16.1544
0.85	17.6784
0.9	19.5072
0.95	21.9456
1	23.4696
1.05	26.5176
1.1	30.1752
1.15	32.9184
1.2	37.7952
1.25	41.148
1.3	44.8056
1.35	48.4632
1.4	52.7304
1.45	56.0832
1.5	59.7408
1.55	64.008
1.6	67.6656
1.65	71.9328
1.7	75.2856
1.75	79.248
1.8	82.6008
1.85	85.344
1.9	89.6112
1.95	93.2688
2	97.536
2.05	99.9744
2.1	103.632
2.15	107.2896
2.2	110.9472
2.25	113.3856
2.3	116.7384
2.35	120.7008
2.4	124.0536
2.45	127.1016
2.5	130.7592
2.55	133.8072
2.6	136.5504
2.65	139.5984
2.7	142.0368
2.75	145.0848
2.8	148.1328
2.85	150.5712
2.9	153.924
2.95	156.6672
3	159.4104
3.05	162.7632
3.1	165.8112
3.15	168.5544
3.2	171.2976
3.25	174.0408
3.3	177.0888
3.35	179.5272
3.4	182.5752
3.45	185.928
3.5	188.0616
3.55	190.5
3.6	192.6336
3.65	195.072
3.7	196.9008
3.75	199.9488
3.8	202.0824
3.85	203.9112
3.9	206.9592
3.95	208.788
4	211.2264
4.05	213.6648
4.1	215.7984
4.15	217.6272
4.2	220.3704
4.25	222.504
4.3	224.3328
4.35	226.7712
4.4	229.2096
4.45	231.648
4.5	233.4768
4.55	235.3056
4.6	237.4392
4.65	239.268
4.7	241.4016
4.75	242.0112
4.8	244.4496
4.85	246.2784
4.9	248.1072
4.95	249.936
5	251.1552
5.05	252.984
5.1	255.1176
5.15	256.9464
5.2	258.4704
5.25	259.9944
5.3	261.8232
5.35	263.652
5.4	264.8712
5.45	266.0904
5.5	268.224
5.55	269.1384
5.6	270.3576
5.65	272.1864
5.7	274.32
5.75	275.5392
5.8	276.7584
5.85	278.5872
5.9	279.8064
5.95	281.3304
6	282.2448
6.05	282.5496
6.1	284.0736
6.15	285.5976
6.2	285.9024
6.25	287.1216
6.3	288.036
6.35	289.2552
6.4	290.1696
6.45	291.3888
6.5	292.3032
6.55	293.2176
6.6	294.4368
6.65	295.0464
6.7	295.9608
6.75	296.8752
6.8	298.0944
6.85	298.704
6.9	299.9232
6.95	300.228
7	300.8376
7.05	301.752
7.1	302.3616
7.15	303.5808
7.2	304.1904
7.25	305.1048
7.3	305.7144
7.35	306.324
7.4	307.2384
7.45	307.848
7.5	308.4576
7.55	309.0672
7.6	309.6768
7.65	310.2864
7.7	310.5912
7.75	311.2008
7.8	311.5056
7.85	311.5056
7.9	311.8104
7.95	312.1152
8	312.1152
8.05	312.42
8.1	312.7248
8.15	312.7248
8.2	313.3344
8.25	313.0296
8.3	313.944
8.35	313.3344
8.4	313.3344
8.45	313.3344
8.5	313.6392
8.55	313.0296
8.6	313.3344
8.65	313.6392
8.7	312.7248
8.75	314.2488
8.8	313.3344
8.85	317.6016
8.9	318.2112
8.95	311.8104
9	311.5056
9.05	311.2008
9.1	311.2008
9.15	311.2008
9.2	312.42
9.25	313.0296
9.3	312.1152
9.35	313.6392
9.4	316.3824
9.45	314.8584
9.5	312.42
9.55	312.1152
9.6	310.896
9.65	309.6768
9.7	309.0672
9.75	309.9816
9.8	309.372
9.85	309.6768
9.9	308.4576
9.95	309.0672
10	309.0672
10.05	308.7624
10.1	308.1528
10.15	308.1528
10.2	307.848
10.25	307.848
10.3	307.5432
10.35	307.2384
10.4	307.2384
10.45	305.7144
10.5	306.324
10.55	305.7144
10.6	305.4096
10.65	304.4952
10.7	304.4952
10.75	304.1904
10.8	304.4952
10.85	304.4952
10.9	303.8856
10.95	304.1904
11	303.276
11.05	302.6664
11.1	302.9712
11.15	302.3616
11.2	301.752
11.25	301.4472
11.3	301.1424
11.35	300.5328
11.4	300.228
11.45	300.228
11.5	300.228
11.55	299.3136
11.6	298.704
11.65	298.3992
11.7	299.0088
11.75	297.7896
11.8	297.4848
11.85	297.4848
11.9	296.8752
11.95	296.2656
12	295.9608
12.05	295.656
12.1	294.7416
12.15	294.4368
12.2	294.4368
12.25	293.8272
12.3	293.8272
12.35	293.5224
12.4	292.9128
12.45	292.3032
12.5	292.3032
12.55	291.6936
12.6	291.3888
12.65	291.084
12.7	290.7792
12.75	290.4744
12.8	290.1696
12.85	289.56
12.9	289.8648
12.95	288.6456
13	288.6456
13.05	288.3408
13.1	288.3408
13.15	288.036
13.2	287.7312
13.25	287.7312
13.3	286.8168
13.35	287.1216
13.4	286.512
13.45	286.8168
13.5	286.512
13.55	285.9024
13.6	285.5976
13.65	285.2928
13.7	284.988
13.75	284.3784
13.8	284.988
13.85	284.0736
13.9	283.7688
13.95	283.464
14	283.1592
14.05	282.8544
14.1	282.2448
14.15	282.5496
14.2	282.5496
14.25	282.2448
14.3	281.6352
14.35	281.6352
14.4	281.6352
14.45	281.6352
14.5	281.3304
14.55	280.7208
14.6	280.416
14.65	280.7208
14.7	280.416
14.75	280.416
14.8	280.1112
14.85	280.1112
14.9	279.5016
14.95	279.1968
15	278.892
15.05	278.5872
15.1	278.2824
15.15	277.9776
15.2	277.9776
15.25	277.368
15.3	277.368
15.35	277.368
15.4	277.0632
15.45	276.4536
15.5	276.1488
15.55	275.844
15.6	275.2344
15.65	275.2344
15.7	274.9296
15.75	274.32
15.8	274.32
15.85	274.32
15.9	273.4056
15.95	273.1008
16	272.4912
16.05	272.1864
16.1	271.5768
