# Netuno-F_Galateia-3_LT-2022-08-28
# rRocket v.1.4.1 rRocket v.1.4.1
#Time (s)  Altitude (m)
0.00  0.00
0.25  2.40
0.50  2.80
0.75  5.60
1.00  10.40
1.25  18.00
1.50  30.70
1.75  44.40
2.00  58.20
2.25  73.60
2.50  85.40
2.75  99.70
3.00  113.00
3.25  126.20
3.50  137.70
3.75  146.70
4.00  157.50
4.25  167.40
4.50  176.30
4.75  184.90
5.00  190.70
5.25  197.70
5.50  204.50
5.75  210.20
6.00  215.10
6.25  220.00
6.50  223.20
6.75  226.50
7.00  229.30
7.25  231.60
7.50  233.00
7.75  233.60
8.00  234.10
8.25  233.80
8.50  232.70
8.75  230.90
9.00  229.40
9.25  226.50
9.50  224.60
9.75  218.50
10.00  214.10
10.25  209.40
10.50  213.50
10.75  212.90
11.00  199.30
11.25  204.80
11.50  198.40
11.75  187.30
12.00  185.90
12.25  181.90
12.50  183.70
12.75  180.40
13.00  177.20
13.25  166.10
13.50  163.10
13.75  161.00
14.00  165.30
14.25  160.20
14.50  155.90
14.75  149.50
15.00  145.40
15.25  146.30
15.50  142.00
15.75  131.10
16.00  132.40
16.25  132.30
16.50  126.70
16.75  122.90
17.00  117.40
17.25  112.20
17.50  109.30
17.75  102.80
18.00  102.70
18.25  99.50
18.50  92.20
18.75  90.20
19.00  85.60
19.25  81.10
19.50  78.50
19.75  76.60
20.00  74.80
20.25  71.60
20.50  71.70
20.75  69.70
21.00  68.00
21.25  67.50
21.50  66.10
21.75  64.70
22.00  63.00
22.25  61.80
22.50  60.20
22.75  57.80
23.00  57.20
23.25  55.90
23.50  54.40
23.75  52.00
24.00  50.90
24.25  48.90
24.50  47.70
24.75  46.30
25.00  44.50
25.25  42.70
25.50  40.20
25.75  39.20
26.00  38.40
26.25  37.00
26.50  34.60
26.75  32.50
27.00  30.10
27.25  29.70
27.50  27.90
27.75  26.00
28.00  24.90
28.25  23.30
28.50  21.70
28.75  21.10
29.00  19.30
29.25  17.40
29.50  17.00
29.75  16.50
30.00  16.20
30.25  16.80
30.50  16.80
30.75  16.10
31.00  16.00
