#Netuno-R-B/Galateia-4			LT 20 Nov 2022		StratoLoggerCF (SL-9)
#t(s)	h (m)
0	0.6096
0.05	0.6096
0.1	0.6096
0.15	0.6096
0.2	0.6096
0.25	0.6096
0.3	1.524
0.35	1.2192
0.4	1.8288
0.45	2.1336
0.5	3.3528
0.55	3.9624
0.6	5.1816
0.65	6.096
0.7	7.9248
0.75	9.7536
0.8	11.5824
0.85	14.3256
0.9	16.4592
0.95	18.8976
1	21.6408
1.05	24.6888
1.1	28.0416
1.15	31.3944
1.2	35.3568
1.25	38.7096
1.3	42.672
1.35	46.9392
1.4	51.5112
1.45	55.1688
1.5	60.0456
1.55	63.7032
1.6	67.6656
1.65	71.9328
1.7	76.5048
1.75	80.4672
1.8	84.4296
1.85	88.392
1.9	92.964
1.95	97.2312
2	100.584
2.05	105.156
2.1	108.5088
2.15	112.4712
2.2	116.4336
2.25	119.4816
2.3	123.444
2.35	127.1016
2.4	130.7592
2.45	134.4168
2.5	138.3792
2.55	141.732
2.6	145.0848
2.65	149.0472
2.7	152.0952
2.75	155.7528
2.8	159.1056
2.85	163.3728
2.9	166.4208
2.95	170.0784
3	173.4312
3.05	177.3936
3.1	181.0512
3.15	184.404
3.2	187.452
3.25	190.8048
3.3	194.1576
3.35	197.5104
3.4	200.5584
3.45	203.6064
3.5	206.6544
3.55	209.0928
3.6	212.4456
3.65	215.1888
3.7	218.2368
3.75	220.6752
3.8	223.1136
3.85	225.2472
3.9	227.9904
3.95	230.124
4	233.172
4.05	235.6104
4.1	238.0488
4.15	240.792
4.2	243.2304
4.25	245.6688
4.3	247.8024
4.35	250.5456
4.4	252.6792
4.45	255.4224
4.5	257.556
4.55	259.6896
4.6	262.128
4.65	264.5664
4.7	267.0048
4.75	269.1384
4.8	271.5768
4.85	273.4056
4.9	275.844
4.95	278.5872
5	280.416
5.05	282.5496
5.1	284.988
5.15	287.4264
5.2	289.2552
5.25	291.6936
5.3	293.8272
5.35	296.2656
5.4	298.704
5.45	300.8376
5.5	302.6664
5.55	304.4952
5.6	306.9336
5.65	308.1528
5.7	310.5912
5.75	312.7248
5.8	314.2488
5.85	315.468
5.9	317.6016
5.95	318.8208
6	320.3448
6.05	321.564
6.1	322.7832
6.15	324.9168
6.2	325.8312
6.25	327.0504
6.3	327.9648
6.35	329.4888
6.4	331.0128
6.45	331.9272
6.5	333.1464
6.55	334.6704
6.6	336.1944
6.65	337.1088
6.7	338.0232
6.75	340.1568
6.8	340.7664
6.85	341.9856
6.9	343.2048
6.95	343.8144
7	345.0336
7.05	346.2528
7.1	347.472
7.15	348.3864
7.2	349.6056
7.25	350.52
7.3	351.7392
7.35	352.6536
7.4	353.568
7.45	353.8728
7.5	355.092
7.55	355.7016
7.6	356.9208
7.65	357.2256
7.7	357.8352
7.75	358.7496
7.8	359.9688
7.85	360.8832
7.9	361.4928
7.95	363.3216
8	363.9312
8.05	365.1504
8.1	366.0648
8.15	366.9792
8.2	368.1984
8.25	369.1128
8.3	370.0272
8.35	370.6368
8.4	371.2464
8.45	372.4656
8.5	373.0752
8.55	373.9896
8.6	373.9896
8.65	374.2944
8.7	374.904
8.75	374.904
