#Saturno-Alfa-2/Titã-3			LT 29 Jan 2023		StratoLoggerCF (SL-8)
#t(s)	h (m)
0	2.7432
0.05	3.048
0.1	5.4864
0.15	6.7056
0.2	6.7056
0.25	9.7536
0.3	12.192
0.35	12.8016
0.4	14.6304
0.45	16.764
0.5	18.288
0.55	21.336
0.6	24.0792
0.65	26.2128
0.7	29.2608
0.75	32.6136
0.8	35.6616
0.85	39.0144
0.9	42.672
0.95	46.3296
1	50.5968
1.05	55.4736
1.1	60.6552
1.15	65.532
1.2	71.3232
1.25	77.1144
1.3	82.296
1.35	87.7824
1.4	93.5736
1.45	99.3648
1.5	106.68
1.55	113.0808
1.6	119.7864
1.65	126.7968
1.7	133.5024
1.75	140.8176
1.8	148.4376
1.85	155.1432
1.9	161.8488
1.95	170.688
2	180.1368
2.05	187.7568
2.1	195.6816
2.15	202.692
2.2	209.7024
2.25	217.3224
2.3	225.552
2.35	233.172
2.4	239.5728
2.45	246.2784
2.5	252.6792
2.55	259.3848
2.6	266.0904
2.65	273.1008
2.7	280.1112
2.75	286.2072
2.8	292.9128
2.85	299.6184
2.9	306.6288
2.95	312.7248
3	319.4304
3.05	326.7456
3.1	333.1464
3.15	339.5472
3.2	346.2528
3.25	352.3488
3.3	358.14
3.35	363.9312
3.4	369.7224
3.45	375.8184
3.5	381.6096
3.55	387.4008
3.6	393.192
3.65	399.5928
3.7	405.0792
3.75	411.48
3.8	417.8808
3.85	423.9768
3.9	429.768
3.95	435.5592
4	440.7408
4.05	446.2272
4.1	450.7992
4.15	456.5904
4.2	461.1624
4.25	466.6488
4.3	472.7448
4.35	478.2312
4.4	484.0224
4.45	489.204
4.5	494.6904
4.55	500.4816
4.6	505.968
4.65	510.54
4.7	515.4168
4.75	520.2936
4.8	525.1704
4.85	529.7424
4.9	534.3144
4.95	539.1912
5	544.3728
5.05	549.5544
5.1	554.4312
5.15	559.6128
5.2	564.7944
5.25	570.2808
5.3	574.548
5.35	578.8152
5.4	583.692
5.45	588.264
5.5	591.9216
5.55	595.884
5.6	600.1512
5.65	605.028
5.7	609.9048
5.75	614.7816
5.8	619.0488
5.85	623.6208
5.9	628.8024
5.95	632.7648
6	636.4224
6.05	640.3848
6.1	643.7376
6.15	648.6144
6.2	652.272
6.25	655.9296
6.3	659.5872
6.35	663.5496
6.4	668.1216
6.45	672.6936
6.5	676.656
6.55	680.3136
6.6	684.276
6.65	687.9336
6.7	692.5056
6.75	695.2488
6.8	698.6016
6.85	702.8688
6.9	705.612
6.95	709.8792
7	713.8416
7.05	717.1944
7.1	720.5472
7.15	724.2048
7.2	728.472
7.25	732.4344
7.3	736.3968
7.35	739.4448
7.4	741.8832
7.45	745.5408
7.5	748.284
7.55	751.9416
7.6	755.2944
7.65	758.0376
7.7	761.6952
7.75	764.4384
7.8	767.7912
7.85	771.4488
7.9	775.1064
7.95	778.4592
8	781.5072
8.05	784.2504
8.1	786.9936
8.15	790.6512
8.2	793.0896
8.25	795.528
8.3	798.8808
8.35	801.624
8.4	804.0624
8.45	806.8056
8.5	810.1584
8.55	812.9016
8.6	815.34
8.65	818.6928
8.7	821.436
8.75	824.7888
8.8	827.2272
8.85	829.6656
8.9	832.4088
8.95	834.5424
9	837.2856
9.05	839.724
9.1	841.5528
9.15	844.296
9.2	846.7344
9.25	848.5632
9.3	851.0016
9.35	853.44
9.4	855.5736
9.45	858.3168
9.5	861.06
9.55	863.1936
9.6	865.632
9.65	868.0704
9.7	870.204
9.75	872.3376
9.8	875.3856
9.85	876.9096
9.9	878.4336
9.95	880.872
10	882.396
10.05	884.5296
10.1	885.7488
10.15	888.1872
10.2	890.016
10.25	892.4544
10.3	893.6736
10.35	895.5024
10.4	897.636
10.45	899.16
10.5	901.2936
10.55	903.4272
10.6	904.9512
10.65	907.9992
10.7	909.2184
10.75	911.0472
10.8	912.5712
10.85	914.7048
10.9	915.924
10.95	918.0576
11	919.2768
11.05	920.496
11.1	922.02
11.15	923.544
11.2	924.1536
11.25	925.6776
11.3	927.2016
11.35	928.4208
11.4	929.9448
11.45	930.8592
11.5	932.0784
11.55	933.2976
11.6	934.5168
11.65	936.3456
11.7	937.5648
11.75	938.1744
11.8	939.6984
11.85	940.6128
11.9	942.4416
11.95	943.6608
12	945.4896
12.05	946.0992
12.1	947.928
12.15	948.8424
12.2	950.0616
12.25	950.6712
12.3	952.5
12.35	953.1096
12.4	954.3288
12.45	954.6336
12.5	956.1576
12.55	956.4624
12.6	957.6816
12.65	958.2912
12.7	958.596
12.75	959.5104
12.8	959.2056
12.85	960.4248
12.9	960.7296
12.95	961.644
13	961.9488
13.05	962.5584
13.1	962.2536
13.15	962.8632
13.2	963.4728
13.25	963.4728
13.3	964.3872
13.35	964.692
13.4	964.692
13.45	965.6064
13.5	966.5208
13.55	966.8256
13.6	967.1304
13.65	967.74
13.7	968.0448
13.75	968.9592
13.8	968.6544
13.85	969.8736
13.9	970.788
13.95	971.3976
14	972.0072
14.05	972.312
14.1	971.7024
14.15	972.9216
14.2	973.2264
14.25	973.5312
14.3	973.2264
14.35	973.836
14.4	974.1408
14.45	974.1408
14.5	973.836
14.55	973.5312
14.6	973.2264
14.65	972.0072
14.7	971.3976
14.75	969.8736
14.8	970.788
14.85	974.1408
14.9	975.36
14.95	976.2744
15	976.2744
15.05	975.6648
15.1	973.836
15.15	973.5312
15.2	972.6168
15.25	971.0928
15.3	970.1784
15.35	968.9592
15.4	968.3496
15.45	967.4352
15.5	967.4352
15.55	967.4352
15.6	967.74
15.65	968.0448
15.7	968.9592
15.75	971.0928
15.8	971.7024
15.85	971.3976
15.9	970.788
15.95	969.264
16	968.3496
16.05	966.5208
16.1	965.6064
16.15	965.6064
16.2	965.6064
16.25	967.1304
16.3	967.4352
16.35	965.9112
16.4	963.168
16.45	961.9488
16.5	961.9488
16.55	961.9488
16.6	962.2536
16.65	960.7296
16.7	959.2056
16.75	959.2056
16.8	959.8152
16.85	959.2056
16.9	959.8152
16.95	958.9008
17	958.2912
17.05	958.2912
17.1	959.5104
17.15	958.9008
17.2	959.2056
17.25	958.2912
17.3	957.6816
17.35	957.9864
17.4	957.9864
17.45	957.072
17.5	955.8528
17.55	954.9384
17.6	954.9384
17.65	954.6336
17.7	952.8048
17.75	951.5856
17.8	950.976
17.85	949.1472
17.9	948.5376
17.95	947.3184
18	946.7088
18.05	945.4896
18.1	945.4896
18.15	946.0992
18.2	946.0992
18.25	946.7088
18.3	947.0136
18.35	947.0136
18.4	947.3184
18.45	947.0136
18.5	946.404
18.55	945.7944
18.6	944.88
18.65	944.2704
18.7	943.9656
18.75	942.7464
18.8	942.4416
18.85	941.2224
18.9	941.2224
18.95	941.5272
19	940.308
19.05	940.0032
19.1	939.6984
19.15	939.0888
19.2	938.1744
19.25	938.1744
19.3	936.9552
19.35	936.3456
19.4	936.0408
19.45	935.1264
19.5	934.212
19.55	934.8216
19.6	934.5168
19.65	934.8216
19.7	932.9928
