# Netuno-F/Galateia-9			LT 17 Dez 2023		StratoLoggerCF (SL-9)	
# t(s)	h (m)
0	3.6576
0.05	4.2672
0.1	5.1816
0.15	5.4864
0.2	6.096
0.25	7.3152
0.3	8.2296
0.35	9.4488
0.4	10.668
0.45	12.4968
0.5	13.1064
0.55	14.6304
0.6	16.4592
0.65	18.288
0.7	19.812
0.75	22.2504
0.8	24.0792
0.85	26.5176
0.9	28.0416
0.95	30.48
1	32.004
1.05	34.4424
1.1	36.8808
1.15	39.624
1.2	41.4528
1.25	43.5864
1.3	45.72
1.35	47.8536
1.4	49.9872
1.45	51.816
1.5	54.5592
1.55	56.6928
1.6	58.5216
1.65	60.96
1.7	63.0936
1.75	64.9224
1.8	67.3608
1.85	69.1896
1.9	71.0184
1.95	73.152
2	74.9808
2.05	76.8096
2.1	78.9432
2.15	80.4672
2.2	81.9912
2.25	84.4296
2.3	85.6488
2.35	86.868
2.4	88.6968
2.45	90.8304
2.5	92.0496
2.55	94.1832
2.6	94.7928
2.65	96.6216
2.7	98.1456
2.75	99.3648
2.8	100.8888
2.85	103.0224
2.9	103.9368
2.95	105.4608
3	106.68
3.05	108.204
3.1	109.1184
3.15	110.9472
3.2	111.8616
3.25	113.0808
3.3	114.3
3.35	115.5192
3.4	117.348
3.45	117.9576
3.5	119.1768
3.55	120.396
3.6	121.92
3.65	122.8344
3.7	124.0536
3.75	125.2728
3.8	126.1872
3.85	127.1016
3.9	127.7112
3.95	129.2352
4	129.54
4.05	130.4544
4.1	131.6736
4.15	131.9784
4.2	133.1976
4.25	133.8072
4.3	135.0264
4.35	135.636
4.4	136.2456
4.45	136.8552
4.5	137.4648
4.55	138.0744
4.6	138.9888
4.65	139.5984
4.7	140.208
4.75	141.4272
4.8	141.732
4.85	142.9512
4.9	142.6464
4.95	143.8656
5	144.1704
5.05	144.78
5.1	145.0848
5.15	145.9992
5.2	145.9992
5.25	146.9136
5.3	147.5232
5.35	147.5232
5.4	147.828
5.45	148.4376
5.5	148.4376
5.55	148.7424
5.6	149.0472
5.65	149.352
5.7	149.6568
5.75	149.9616
5.8	149.6568
5.85	150.5712
5.9	150.2664
5.95	150.2664
6	150.2664
6.05	150.2664
6.1	150.876
6.15	150.5712
6.2	150.2664
6.25	150.5712
6.3	150.5712
6.35	149.9616
6.4	150.2664
6.45	150.5712
6.5	149.9616
6.55	149.9616
6.6	149.6568
6.65	149.352
6.7	149.352
6.75	148.1328
6.8	148.1328
6.85	146.9136
6.9	146.6088
6.95	146.304
7	145.6944
7.05	145.0848
7.1	144.1704
7.15	143.5608
7.2	142.9512
7.25	142.3416
7.3	141.732
7.35	142.0368
7.4	140.8176
7.45	140.5128
7.5	139.9032
7.55	138.684
7.6	138.684
7.65	138.0744
7.7	137.7696
7.75	136.5504
7.8	136.2456
7.85	135.3312
7.9	134.112
7.95	133.5024
8	133.8072
8.05	132.8928
8.1	132.8928
8.15	131.9784
8.2	132.2832
8.25	130.1496
