# Urano-PR-27-v2_mp-85_LT-2019-12-02
#  Time (s)	Height(m)
0	0
0.192	0.9
0.384	2.3
0.576	7.8
0.768	12.2
0.96	20.4
1.152	32.3
1.344	50
1.536	66
1.728	88.8
1.92	118.6
2.112	149.2
2.304	183.6
2.496	213
2.688	241.9
2.88	271.1
3.072	299.8
3.264	326.6
3.456	354
3.648	378.9
3.84	404.1
4.032	427.6
4.224	450.9
4.416	474.2
4.608	495.2
4.8	516.4
4.992	537.2
5.184	555.9
5.376	574.2
5.568	595.1
5.76	611.7
5.952	628.3
6.144	645.2
6.336	661.3
6.528	676.6
6.72	692.3
6.912	706.1
7.104	719.2
7.296	732.6
7.488	746.3
7.68	759.5
7.872	771.2
8.064	783.4
8.256	793.6
8.448	804.5
8.64	815
8.832	825.6
9.024	835
9.216	844.6
9.408	852
9.6	860.5
9.792	868.8
9.984	876.3
10.176	883.7
10.368	890.5
10.56	897
10.752	902.9
10.944	908
11.136	913.2
11.328	917.9
11.52	922.6
11.712	927
11.904	931.5
12.096	935.5
12.288	938.3
12.48	940.8
12.672	942.9
12.864	943.9
13.056	944.9
13.248	946.5
13.44	948
13.632	949.1
13.824	951
14.016	951.6
14.208	952.1
14.4	951.2
14.592	950.1
14.784	946.9
14.976	946.2
15.168	945.1
15.36	944
15.552	941.5
15.744	941
15.936	943.6
16.128	941.2
16.32	937.9
16.512	927.1
16.704	930.9
16.896	924.3
17.088	925.4
17.28	924.5
17.472	923.6
17.664	906.2
17.856	914.9
18.048	907.7
18.24	906.4
18.432	900.4
18.624	899.9
18.816	888
19.008	890.7
19.2	889.2
19.392	880.2
19.584	881.6
19.776	875.3
19.968	867.7
20.16	854.9
20.352	852.8
20.544	850.3
20.736	847.3
20.928	845.2
21.12	843.7
21.312	845.2
21.504	838.2
21.696	829.1
21.888	828.4
22.08	819.1
22.272	818.4
22.464	809.7
22.656	801.4
22.848	807.2
23.04	796.1
23.232	797.4
23.424	794
23.616	785
23.808	784.6
24	780.7
24.192	770.4
24.384	764.5
24.576	767.6
24.768	764.1
24.96	754.9
25.152	755.6
25.344	753.9
25.536	750.6
25.728	744.3
25.92	743.1
26.112	735.1
26.304	735.2
26.496	726.8
26.688	721.8
26.88	725.1
27.072	708
27.264	712.7
27.456	705.9
27.648	697.1
27.84	705.7
28.032	696.7
28.224	695.5
28.416	686.7
28.608	682.8
28.8	682.2
28.992	673.4
29.184	672.4
29.376	671.1
29.568	656.9
29.76	657.4
29.952	656.2
30.144	652.4
30.336	649
30.528	639.2
30.72	637.5
30.912	639.9
31.104	642.3
31.296	631.4
31.488	625.4
31.68	609.5
31.872	615.9
32.064	612.1
32.256	606.3
32.448	603.6
32.64	605.1
32.832	598.4
33.024	594.9
33.216	589.1
33.408	582.7
33.6	576.1
33.792	577.5
33.984	574.2
34.176	569.3
34.368	558.6
34.56	556.2
34.752	553.3
34.944	551.3
35.136	540.9
35.328	538.6
35.52	538.2
35.712	532.5
35.904	535.6
36.096	531.5
36.288	522.8
36.48	521.4
36.672	512.3
36.864	512.7
37.056	501.9
37.248	504.8
37.44	500.5
37.632	497.9
37.824	497.4
38.016	489.7
38.208	485.5
38.4	480
38.592	469.8
38.784	472.7
38.976	468.7
39.168	466.3
39.36	462.6
39.552	460.1
39.744	458.5
39.936	452.8
40.128	446.9
40.32	436.4
40.512	434.5
40.704	433.1
40.896	433.1
41.088	429.3
41.28	424.3
41.472	419.8
41.664	418.9
41.856	409
42.048	408.9
42.24	405.5
42.432	394.8
42.624	395.2
42.816	387.3
43.008	390.5
43.2	386.3
43.392	376.6
43.584	377.4
43.776	375.9
43.968	370.7
44.16	368.5
44.352	361.9
44.544	357.9
44.736	358
44.928	354.3
45.12	350.8
45.312	345.3
45.504	342.9
45.696	341
45.888	335.7
46.08	326
46.272	321.6
46.464	319.7
46.656	316.2
46.848	310.5
47.04	303.9
47.232	307.9
47.424	300.3
47.616	294.5
47.808	293.3
48	291.2
48.192	285.9
