# Netuno-F_Galateia-10_mp-17_LT-2024-01-14
# Time (s)	Height(m)
0	0
0.192	0.3
0.384	2.7
0.576	4.6
0.768	7.7
0.96	12.3
1.152	17.9
1.344	23.5
1.536	29.2
1.728	39.4
1.92	44.8
2.112	50.3
2.304	55.4
2.496	59.6
2.688	64.2
2.88	68.7
3.072	71
3.264	74.6
3.456	76.5
3.648	80.3
3.84	81.3
4.032	84
4.224	85.6
4.416	86.5
4.608	86.4
4.8	87.6
4.992	87.9
5.184	87.4
5.376	86.9
5.568	86.4
5.76	84.5
5.952	83.5
6.144	81.6
6.336	79.7
6.528	76.6
6.72	74.2
6.912	70.1
7.104	66.7
7.296	63.4
7.488	59.8
7.68	54.8
7.872	49.5
8.064	45.9
8.256	40.8
8.448	33.8
8.64	28.9
8.832	22.2
9.024	15.6
9.216	10.8
9.408	3
9.6	-1.4
9.792	1
9.984	3.1
10.176	2.7
10.368	2.9
10.56	1.4
10.752	1.3
10.944	1.2
11.136	1.8
11.328	1.1
11.52	0.6
11.712	0.6
11.904	0.6
12.096	0.8
12.288	1.4
12.48	1
12.672	0.5
12.864	-0.3
13.056	-0.1
13.248	0.9
13.44	0.1
13.632	1.4
13.824	0.6
14.016	1.1
14.208	0.6
14.4	0.9
14.592	1.3
14.784	0.9
14.976	0.5
15.168	2
15.36	0.6
15.552	0.8
15.744	0.8
15.936	0.8
16.128	0.2
16.32	0.2
16.512	0.2
16.704	1
16.896	0.7
17.088	0.9
17.28	0.3
17.472	1.8
17.664	0.6
17.856	0.9
18.048	1.1
18.24	0.5
18.432	1.7
18.624	1.4
18.816	0.7
19.008	1.6
19.2	0.8
19.392	1.7
19.584	0.6
19.776	1.1
19.968	0.8
