#Saturno-Alfa-2_Tita-4_rRocket-EZ-2023-1_LT-2024-01-14
#t(s)	h (m)
0	0
0.25	0
0.5	0
0.75	0.2
1	0.8
1.25	3.4
1.5	9.9
1.75	20.3
2	35
2.25	51.7
2.5	78
2.75	108.3
3	145.8
3.25	188
3.5	227.2
3.75	265
4	289.6
4.25	321.7
4.5	353.3
4.75	383.4
5	413.3
5.25	442.7
5.5	463.7
5.75	489.3
6	517
6.25	542.6
6.5	566.7
6.75	590.4
7	607.6
7.25	629.1
7.5	651
7.75	671.3
8	690.4
8.25	709
8.5	723.1
8.75	741
9	757.8
9.25	773.7
9.5	789.3
9.75	804.7
10	814.3
10.25	827.6
10.5	840.5
10.75	852.1
11	864.4
11.25	874.9
11.5	882.4
11.75	892.1
12	901.1
12.25	909.7
12.5	917.3
12.75	924.2
13	929.9
13.25	935.4
13.5	941
13.75	945.8
14	949.8
14.25	953.1
14.5	955.5
14.75	957.9
15	960.3
15.25	961.3
15.5	961.9
15.75	962.3
16	962.4
16.25	961.6
16.5	959.8
16.75	958.1
17	955.9
17.25	955.3
17.5	952.8
17.75	948.5
18	946.1
18.25	941.1
18.5	932.8
18.75	930.2
19	928.2
19.25	923.9
19.5	919.4
19.75	920
20	914.8
20.25	912.7
20.5	907.8
20.75	907.4
21	905.4
21.25	902.2
21.5	898
21.75	897.2
22	893.6
22.25	891.2
22.5	887.2
22.75	885.3
23	883.4
23.25	880.6
23.5	879.8
23.75	877
24	873.7
24.25	869.7
24.5	867.3
24.75	864.4
25	863.7
25.25	861.1
25.5	858.2
25.75	855
26	852.2
26.25	849.5
26.5	847.5
26.75	844.9
27	842.2
27.25	841.3
27.5	837.6
27.75	835.2
28	832.7
28.25	830.5
28.5	827.9
28.75	825.6
29	823.4
29.25	820.9
29.5	819.6
29.75	816.2
30	814.3
30.25	811.6
30.5	809.9
30.75	807.2
31	804.8
31.25	803
31.5	801.1
31.75	799
32	797.4
32.25	795
32.5	791.7
32.75	788.8
33	788.6
33.25	785.4
33.5	783.4
33.75	781.7
34	779.5
34.25	777.5
34.5	776.2
34.75	774
35	771.8
35.25	770.2
35.5	768
35.75	766.1
36	764.7
36.25	762.7
36.5	759.9
36.75	758.7
37	756.5
37.25	754.3
37.5	753.2
37.75	751.1
38	749.6
38.25	747.3
38.5	745.3
38.75	743.4
39	742.4
39.25	740.1
39.5	738
39.75	736.3
40	734.3
40.25	732.4
40.5	730.6
40.75	729.2
41	727.5
41.25	724.8
41.5	723.2
41.75	721.2
42	719
42.25	716.4
42.5	714.8
42.75	712.9
43	711
43.25	709.1
43.5	706.6
43.75	705.1
44	703.3
44.25	701.6
44.5	699.5
44.75	697.2
45	695.6
45.25	694.1
45.5	692
45.75	690.2
46	687.8
46.25	685.5
46.5	683.8
46.75	682.3
47	680
47.25	678.4
47.5	676.4
47.75	675.2
48	672.9
48.25	671.1
48.5	669.1
48.75	667.8
49	665.4
49.25	663.7
49.5	662
49.75	660.6
50	658.4
50.25	657.2
50.5	655.5
50.75	653.7
51	651.8
51.25	650.5
51.5	648.6
51.75	647.3
52	645.1
52.25	643.9
52.5	641.5
52.75	640.2
53	638.4
53.25	636.7
53.5	635.3
53.75	633.8
54	631.4
54.25	630.2
54.5	628.6
54.75	626.6
55	624.8
55.25	622.7
55.5	620.5
55.75	619.3
56	617.8
56.25	615.7
56.5	613.7
56.75	611.7
57	609.7
57.25	608.8
57.5	606.9
57.75	604.7
58	603.6
58.25	601.9
58.5	599.8
58.75	597.7
59	596.5
59.25	594.8
59.5	593.1
59.75	591.5
60	589.5
60.25	587.7
60.5	586.3
60.75	584.7
61	582.9
61.25	581.2
61.5	578.9
61.75	577.5
62	575.9
62.25	573.8
62.5	572.5
62.75	570.1
63	568.1
63.25	566.6
63.5	565.8
63.75	564.2
64	562.3
64.25	560.6
64.5	558.4
64.75	557.3
65	556.3
65.25	554.7
65.5	553.6
65.75	551.3
66	550.1
66.25	548.5
66.5	547.7
66.75	545.7
67	544.2
67.25	542.8
67.5	541.1
67.75	539.2
68	538.6
68.25	536.1
68.5	534.4
68.75	532.5
69	531.4
69.25	529.3
69.5	527.8
69.75	525.7
