#Voo transônico extraído de: Barometric Apogee Detection Using the Kalman Filter. A NAR Research and Development  Report "C" Division NARAM 44, 2002. By David Schultz. NAR #63255. Dados reais até o apogeu. Depois do apogeu, adicionou-se queda livre para completar a trajetória.
#t (s)	h (m)
0.0036	0.64008
0.432	17.31264
1.2402	48.09744
1.6887	80.19288
2.0443	116.09832
2.5453	177.63744
2.9777	243.04752
3.2525	280.2636
3.7778	370.0272
4.2465	466.1916
4.7314	584.17968
5.0627	672.66312
5.4951	786.81072
5.7537	830.39712
5.9638	895.8072
6.2103	954.786
6.5012	879.13464
6.5618	1004.80368
6.5982	1125.35208
6.6547	1275.37464
6.7799	1474.13472
6.9254	1519.03176
7.1961	1526.71272
7.4143	1565.17848
7.6972	1657.53288
8.0245	1748.57664
8.3962	1884.51744
8.7194	2015.30712
9.1477	2180.72208
9.6285	2371.8012
9.968	2506.43136
10.3356	2669.31648
10.6589	2807.78712
11.0912	2995.02576
11.4387	3165.56136
11.7054	3291.2304
12.0084	3427.1712
12.2912	3561.83184
12.5296	3695.18184
12.8205	3842.64408
13.1437	4008.05904
13.467	4155.55176
13.8791	4377.3852
14.2104	4559.47272
14.5781	4751.832
15.0508	5004.45024
15.4144	5213.48208
15.774	5416.08264
16.2185	5661.01992
16.8124	5957.22456
17.2164	6182.92896
17.677	6408.60288
18.3518	6763.8168
19.1962	7170.32856
20.1296	7581.96096
21.4023	8137.21512
22.4448	8532.17496
23.6489	8997.696
24.5176	9322.12512
25.2489	9565.78224
26.1783	9872.25864
26.9662	10138.98912
27.4995	10337.7492
27.8834	10522.42752
28.1097	10635.26448
28.2026	10453.17696
28.4492	10258.28784
28.9098	10439.0952
29.5846	10651.96752
30.1826	10814.82216
30.8251	10954.60344
31.8474	11199.54072
32.6232	11373.94728
33.7708	11620.16472
34.6921	11793.3216
36.2235	12089.55672
37.4963	12306.26952
39.0642	12555.07776
40.1511	12705.1308
41.6947	12900.08088
43.1454	13051.41408
44.984	13228.41144
46.6084	13350.27048
48.8996	13472.12952
50.7371	13551.28608
53.4633	13592.06832
54.4633	13587.16332
55.4633	13572.44832
56.4633	13547.92332
57.4633	13513.58832
58.4633	13469.44332
59.4633	13415.48832
60.4633	13351.72332
61.4633	13278.14832
62.4633	13194.76332
63.4633	13101.56832
64.4633	12998.56332
65.4633	12885.74832
66.4633	12763.12332
67.4633	12630.68832
68.4633	12488.44332
69.4633	12336.38832
70.4633	12174.52332
71.4633	12002.84832
72.4633	11821.36332
73.4633	11630.06832
74.4633	11428.96332
75.4633	11218.04832
76.4633	10997.32332
77.4633	10766.78832
78.4633	10526.44332
79.4633	10276.28832
80.4633	10016.32332
81.4633	9746.54832
82.4633	9466.96332
83.4633	9177.56832
84.4633	8878.36332
85.4633	8569.34832
86.4633	8250.52332
87.4633	7921.88832
88.4633	7583.44332
89.4633	7235.18832
90.4633	6877.12332
91.4633	6509.24832
92.4633	6131.56332
93.4633	5744.06832
94.4633	5346.76332
95.4633	4939.64832
96.4633	4522.72332
97.4633	4095.98832
98.4633	3659.44332
99.4633	3213.08832
100.4633	2756.92332
101.4633	2290.94832
102.4633	1815.16332
103.4633	1329.56831999999
104.4633	834.163319999996
105.4633	328.948319999996
106.11	-2.99765746545199
