#Urano/Paraná-XVb LT 7 Set 2018 (1211 m)
# t(s)	h (m)
0	-285.2928
0.05	-297.7896
0.1	-305.4096
0.15	-301.1424
0.2	-298.3992
0.25	-299.6184
0.3	-293.8272
0.35	-261.8232
0.4	-240.1824
0.45	-222.504
0.5	-213.0552
0.55	-210.0072
0.6	-194.7672
0.65	-168.5544
0.7	-139.5984
0.75	-122.8344
0.8	-120.396
0.85	-102.108
0.9	-93.2688
0.95	-73.7616
1	-51.2064
1.05	-34.7472
1.1	-17.6784
1.15	-11.2776
1.2	-1.2192
1.25	17.3736
1.3	29.8704
1.35	47.5488
1.4	56.388
1.45	67.6656
1.5	91.44
1.55	94.7928
1.6	116.4336
1.65	127.1016
1.7	142.3416
1.75	153.0096
1.8	174.0408
1.85	181.6608
1.9	194.4624
1.95	202.0824
2	215.7984
2.05	221.5896
2.1	243.2304
2.15	250.2408
2.2	264.2616
2.25	274.6248
2.3	291.6936
2.35	297.18
2.4	306.6288
2.45	323.088
2.5	327.66
2.55	337.7184
2.6	349.3008
2.65	363.3216
2.7	368.1984
2.75	377.952
2.8	391.3632
2.85	402.0312
2.9	409.0416
2.95	420.0144
3	434.9496
3.05	441.3504
3.1	448.9704
3.15	458.1144
3.2	472.7448
3.25	477.6216
3.3	487.0704
3.35	497.4336
3.4	507.7968
3.45	513.2832
3.5	521.208
3.55	529.1328
3.6	541.02
3.65	548.0304
3.7	554.736
3.75	563.5752
3.8	570.8904
3.85	579.7296
3.9	585.8256
3.95	592.2264
4	604.1136
4.05	617.8296
4.1	619.9632
4.15	627.5832
4.2	634.2888
4.25	640.08
4.3	651.3576
4.35	655.32
4.4	660.5016
4.45	671.1696
4.5	679.704
4.55	686.4096
4.6	692.8104
4.65	698.6016
4.7	705.9168
4.75	716.28
4.8	722.376
4.85	725.424
4.9	731.2152
4.95	736.7016
5	746.1504
5.05	752.2464
5.1	756.8184
5.15	762
5.2	767.4864
5.25	772.668
5.3	783.0312
5.35	788.5176
5.4	793.0896
5.45	797.6616
5.5	804.672
5.55	811.0728
5.6	818.388
5.65	823.5696
5.7	827.2272
5.75	831.1896
5.8	836.0664
5.85	843.3816
5.9	850.6968
5.95	854.3544
6	857.4024
6.05	863.1936
6.1	868.0704
6.15	873.252
6.2	881.4816
6.25	886.6632
6.3	888.7968
6.35	892.1496
6.4	896.4168
6.45	900.684
6.5	907.0848
6.55	914.0952
6.6	917.448
6.65	919.5816
6.7	923.2392
6.75	926.8968
6.8	932.3832
6.85	937.5648
6.9	943.356
6.95	947.928
7	950.6712
7.05	953.7192
7.1	957.6816
7.15	961.9488
7.2	967.74
7.25	973.5312
7.3	977.7984
7.35	979.3224
7.4	981.7608
7.45	985.1136
7.5	988.4664
7.55	992.7336
7.6	997.9152
7.65	1004.0112
7.7	1007.364
7.75	1008.888
7.8	1011.3264
7.85	1015.2888
7.9	1018.6416
7.95	1021.9944
8	1026.5664
8.05	1031.4432
8.1	1035.7104
8.15	1037.844
8.2	1039.9776
8.25	1041.8064
8.3	1044.5496
8.35	1048.2072
8.4	1051.56
8.45	1056.132
8.5	1060.3992
8.55	1064.0568
8.6	1065.8856
8.65	1066.8
8.7	1069.2384
8.75	1072.2864
8.8	1075.3344
8.85	1077.7728
8.9	1081.4304
8.95	1085.3928
9	1090.2696
9.05	1092.4032
9.1	1093.9272
9.15	1095.4512
9.2	1096.9752
9.25	1099.4136
9.3	1102.1568
9.35	1104.2904
9.4	1107.6432
9.45	1110.6912
9.5	1114.6536
9.55	1117.7016
9.6	1119.8352
9.65	1121.0544
9.7	1122.5784
9.75	1123.7976
9.8	1125.6264
9.85	1127.76
9.9	1129.5888
9.95	1132.332
10	1135.0752
10.05	1138.428
10.1	1141.476
10.15	1143.9144
10.2	1145.4384
10.25	1146.6576
10.3	1147.2672
10.35	1148.4864
10.4	1149.7056
10.45	1152.144
10.5	1153.668
10.55	1155.8016
10.6	1157.6304
10.65	1159.764
10.7	1162.5072
10.75	1164.6408
10.8	1166.7744
10.85	1168.908
10.9	1169.2128
10.95	1170.432
11	1171.0416
11.05	1171.3464
11.1	1173.1752
11.15	1174.0896
11.2	1175.9184
11.25	1176.528
11.3	1178.052
11.35	1180.1856
11.4	1181.4048
11.45	1182.9288
11.5	1184.7576
11.55	1187.196
11.6	1188.4152
11.65	1189.9392
11.7	1190.244
11.75	1191.1584
11.8	1191.4632
11.85	1192.3776
11.9	1192.9872
11.95	1193.9016
12	1194.2064
12.05	1195.4256
12.1	1196.6448
12.15	1197.2544
12.2	1198.4736
12.25	1199.388
12.3	1199.9976
12.35	1200.6072
12.4	1201.2168
12.45	1202.436
12.5	1203.0456
12.55	1204.2648
12.6	1205.1792
12.65	1206.0936
12.7	1206.7032
12.75	1207.008
12.8	1207.6176
12.85	1207.9224
12.9	1208.532
12.95	1208.2272
13	1208.532
13.05	1208.8368
13.1	1208.8368
13.15	1209.1416
13.2	1209.4464
13.25	1209.4464
13.3	1210.056
13.35	1210.6656
13.4	1210.9704
13.45	1211.2752
13.5	1211.2752
13.55	1211.58
13.6	1211.58
13.65	1212.1896
13.7	1212.1896
13.75	1008.888
13.8	1211.8848
13.85	1210.6656
13.9	1212.1896
13.95	1213.104
14	1214.0184
14.05	1212.1896
14.1	1214.3232
14.15	1214.9328
14.2	1215.2376
14.25	1212.4944
14.3	1212.1896
14.35	1213.104
14.4	1214.0184
14.45	1215.2376
14.5	1217.3712
14.55	1220.4192
14.6	1222.248
14.65	1222.5528
14.7	1218.5904
14.75	1215.2376
14.8	1213.4088
14.85	1212.1896
14.9	1212.1896
14.95	1210.9704
15	1210.056
15.05	1209.1416
15.1	1208.532
15.15	1208.2272
15.2	1207.9224
15.25	1207.3128
15.3	1207.6176
15.35	1207.3128
15.4	1206.0936
15.45	1205.484
15.5	1207.008
15.55	1205.7888
15.6	1203.3504
15.65	1202.436
15.7	1202.436
15.75	1202.7408
15.8	1202.436
15.85	1202.7408
15.9	1202.7408
15.95	1201.5216
16	1200.6072
16.05	1200.6072
16.1	1201.8264
16.15	1203.6552
16.2	1204.8744
16.25	1205.7888
16.3	1205.484
16.35	1204.5696
16.4	1203.0456
16.45	1202.436
16.5	1201.5216
16.55	1201.2168
16.6	1200.6072
16.65	1200.3024
16.7	1199.9976
16.75	1199.388
16.8	1198.4736
16.85	1197.5592
16.9	1196.0352
16.95	1195.7304
17	1194.2064
17.05	1192.6824
17.1	1192.3776
17.15	1192.0728
17.2	1191.4632
17.25	1190.8536
17.3	1189.9392
17.35	1188.72
17.4	1188.4152
17.45	1187.5008
17.5	1187.196
17.55	1186.5864
17.6	1186.8912
17.65	1186.5864
17.7	1185.672
17.75	1185.3672
17.8	1184.4528
17.85	1183.8432
17.9	1182.9288
17.95	1182.624
18	1182.3192
18.05	1182.3192
18.1	1183.2336
18.15	1184.148
18.2	1182.624
18.25	1182.624
18.3	1181.1
18.35	1178.9664
18.4	1177.1376
18.45	1176.2232
18.5	1175.6136
18.55	1174.6992
18.6	1174.6992
18.65	1174.3944
18.7	1174.0896
18.75	1174.0896
18.8	1174.6992
18.85	1176.528
18.9	1177.4424
18.95	1176.528
19	1175.6136
19.05	1173.7848
19.1	1171.956
19.15	1171.3464
19.2	1169.8224
19.25	1169.5176
19.3	1168.908
19.35	1168.2984
19.4	1167.9936
19.45	1166.7744
19.5	1166.1648
19.55	1165.86
19.6	1165.86
19.65	1165.2504
19.7	1165.2504
19.75	1165.5552
19.8	1165.5552
19.85	1166.4696
19.9	1167.0792
19.95	1167.9936
20	1168.6032
20.05	1168.908
20.1	1168.6032
20.15	1168.6032
20.2	1167.384
20.25	1166.4696
20.3	1166.4696
20.35	1164.9456
20.4	1164.336
20.45	1163.1168
20.5	1161.8976
20.55	1160.0688
20.6	1157.9352
20.65	1156.4112
20.7	1155.4968
20.75	1154.2776
20.8	1153.0584
20.85	1153.0584
20.9	1153.3632
20.95	1151.5344
21	1150.3152
21.05	1150.0104
21.1	1149.096
21.15	1148.7912
21.2	1147.572
21.25	1147.8768
21.3	1147.572
21.35	1146.6576
21.4	1146.3528
21.45	1145.7432
21.5	1144.8288
21.55	1144.8288
21.6	1144.8288
21.65	1144.8288
21.7	1144.524
21.75	1143.9144
21.8	1143.6096
21.85	1142.6952
21.9	1142.3904
21.95	1142.3904
22	1141.7808
22.05	1141.1712
22.1	1140.2568
22.15	1139.952
22.2	1139.0376
22.25	1139.0376
22.3	1138.428
22.35	1137.8184
22.4	1136.5992
22.45	1136.5992
22.5	1135.6848
22.55	1135.38
22.6	1135.0752
22.65	1134.1608
22.7	1133.856
22.75	1132.9416
22.8	1132.9416
22.85	1132.6368
22.9	1132.332
22.95	1132.0272
23	1131.4176
23.05	1130.808
23.1	1130.5032
23.15	1129.8936
23.2	1129.284
23.25	1129.8936
23.3	1128.9792
23.35	1128.9792
23.4	1128.9792
23.45	1128.9792
23.5	1129.5888
23.55	1128.6744
23.6	1128.6744
23.65	1128.0648
23.7	1126.8456
23.75	1126.5408
23.8	1125.9312
23.85	1124.4072
23.9	1124.1024
23.95	1124.1024
24	1123.188
24.05	1121.664
24.1	1120.4448
24.15	1118.616
24.2	1116.7872
24.25	1115.568
24.3	1115.8728
24.35	1115.2632
24.4	1114.6536
24.45	1114.6536
24.5	1114.3488
24.55	1114.9584
24.6	1115.2632
24.65	1115.568
24.7	1116.4824
24.75	1116.7872
24.8	1118.0064
24.85	1117.7016
24.9	1117.3968
24.95	1117.7016
25	1117.3968
25.05	1117.3968
25.1	1117.092
25.15	1116.4824
25.2	1115.8728
25.25	1115.568
25.3	1113.1296
25.35	1111.9104
25.4	1110.6912
25.45	1110.0816
25.5	1109.7768
25.55	1110.6912
25.6	1110.6912
25.65	1110.6912
25.7	1110.996
25.75	1110.6912
25.8	1110.3864
25.85	1110.0816
25.9	1109.1672
25.95	1108.5576
26	1107.0336
26.05	1105.5096
26.1	1103.6808
26.15	1102.1568
26.2	1101.2424
26.25	1099.4136
26.3	1098.1944
26.35	1096.9752
26.4	1096.3656
26.45	1095.1464
26.5	1094.232
26.55	1093.9272
26.6	1093.6224
26.65	1092.708
26.7	1092.0984
26.75	1091.7936
26.8	1091.184
26.85	1089.66
26.9	1089.3552
26.95	1088.7456
27	1089.0504
27.05	1089.0504
27.1	1089.0504
27.15	1089.0504
27.2	1088.4408
27.25	1088.7456
27.3	1088.136
27.35	1087.5264
27.4	1086.9168
27.45	1083.564
27.5	1088.4408
27.55	1090.2696
27.6	1090.8792
27.65	1091.4888
27.7	1091.184
27.75	1090.5744
27.8	1090.2696
27.85	1089.66
27.9	1089.3552
27.95	1089.0504
28	1089.0504
28.05	1088.136
28.1	1087.5264
28.15	1086.0024
28.2	1085.088
28.25	1083.564
28.3	1082.9544
28.35	1081.4304
28.4	1081.1256
28.45	1079.6016
28.5	1078.992
28.55	1078.0776
28.6	1077.1632
28.65	1076.5536
28.7	1075.6392
28.75	1074.42
28.8	1073.8104
28.85	1073.2008
28.9	1071.9816
28.95	1071.6768
29	1070.1528
29.05	1068.6288
29.1	1068.0192
29.15	1067.1048
29.2	1065.8856
29.25	1065.5808
29.3	1064.9712
29.35	1064.3616
29.4	1064.6664
29.45	1064.6664
29.5	1064.0568
29.55	1063.4472
29.6	1062.8376
29.65	1061.9232
29.7	1061.3136
29.75	1059.7896
29.8	1059.4848
29.85	1059.18
29.9	1059.18
29.95	1058.5704
30	1057.9608
30.05	1057.3512
30.1	1057.3512
30.15	1056.4368
30.2	1055.8272
30.25	1055.5224
30.3	1054.9128
30.35	1055.2176
30.4	1054.9128
30.45	1053.9984
30.5	1053.9984
30.55	1052.7792
30.6	1053.084
30.65	1052.7792
30.7	1053.084
30.75	1051.8648
30.8	1051.2552
30.85	1050.3408
30.9	1049.7312
30.95	1050.6456
31	1049.7312
31.05	1050.036
31.1	1049.4264
31.15	1049.1216
31.2	1049.4264
31.25	1049.1216
31.3	1048.512
31.35	1048.512
31.4	1047.5976
31.45	1046.6832
31.5	1044.5496
31.55	1044.2448
31.6	1043.0256
31.65	1041.8064
31.7	1040.892
31.75	1039.9776
31.8	1039.368
31.85	1039.368
31.9	1039.0632
31.95	1038.1488
32	1037.5392
32.05	1037.844
32.1	1037.5392
32.15	1036.9296
32.2	1036.32
32.25	1035.4056
32.3	1035.7104
32.35	1034.796
32.4	1033.8816
32.45	1033.5768
32.5	1034.1864
32.55	1032.9672
32.6	1031.748
32.65	1031.1384
32.7	1030.5288
32.75	1030.5288
32.8	1030.8336
32.85	1029.0048
32.9	1029.0048
32.95	1029.0048
33	1027.7856
33.05	1027.7856
33.1	1027.176
33.15	1026.8712
33.2	1025.652
33.25	1024.7376
33.3	1024.128
33.35	1022.9088
33.4	1023.2136
33.45	1022.2992
33.5	1022.2992
33.55	1021.6896
33.6	1021.9944
33.65	1022.2992
33.7	1022.2992
33.75	1022.2992
33.8	1022.2992
33.85	1022.2992
33.9	1022.604
33.95	1021.9944
34	1021.6896
34.05	1021.08
34.1	1019.8608
34.15	1018.3368
34.2	1016.8128
34.25	1015.8984
34.3	1014.3744
34.35	1013.46
34.4	1012.5456
34.45	1011.3264
34.5	1011.0216
34.55	1011.3264
34.6	1011.0216
34.65	1010.7168
34.7	1010.412
34.75	1009.8024
34.8	1010.1072
34.85	1010.1072
34.9	1009.4976
34.95	1009.1928
35	1008.5832
35.05	1007.9736
35.1	1007.364
35.15	1006.7544
35.2	1004.9256
35.25	1004.0112
35.3	1003.4016
35.35	1003.0968
35.4	1002.4872
35.45	1002.4872
35.5	1001.8776
35.55	1001.268
35.6	1001.268
35.65	1000.6584
35.7	1000.6584
35.75	998.22
35.8	997.0008
35.85	999.4392
35.9	1000.3536
35.95	1002.1824
36	1002.4872
36.05	1003.0968
36.1	1004.0112
36.15	1003.0968
36.2	1002.1824
36.25	1001.268
36.3	1000.0488
36.35	998.8296
36.4	997.0008
36.45	995.4768
36.5	993.9528
36.55	992.7336
36.6	991.2096
36.65	989.9904
36.7	989.6856
36.75	988.1616
36.8	987.2472
36.85	986.3328
36.9	985.7232
36.95	986.6376
37	985.4184
37.05	985.1136
37.1	985.1136
37.15	984.504
37.2	984.1992
37.25	983.5896
37.3	982.98
37.35	982.3704
37.4	981.7608
37.45	980.8464
37.5	980.5416
37.55	980.8464
37.6	980.8464
37.65	980.8464
37.7	981.456
37.75	982.0656
37.8	983.5896
37.85	983.8944
37.9	984.1992
37.95	984.1992
38	984.1992
38.05	983.5896
38.1	983.2848
38.15	982.6752
38.2	981.456
38.25	974.4456
38.3	977.1888
38.35	980.8464
38.4	979.932
38.45	979.3224
38.5	979.0176
38.55	978.1032
38.6	976.884
38.65	975.9696
38.7	975.6648
38.75	974.4456
38.8	973.836
38.85	973.2264
38.9	971.3976
38.95	969.8736
39	969.5688
39.05	968.3496
39.1	966.8256
39.15	965.9112
39.2	964.692
39.25	963.7776
39.3	962.8632
39.35	961.9488
39.4	960.4248
39.45	960.12
39.5	960.4248
39.55	959.8152
39.6	959.5104
39.65	960.12
39.7	960.12
39.75	960.4248
39.8	960.4248
39.85	960.4248
39.9	961.3392
39.95	960.7296
40	960.7296
40.05	960.4248
40.1	960.4248
40.15	960.7296
40.2	960.4248
40.25	959.5104
40.3	959.2056
40.35	957.6816
40.4	953.1096
40.45	950.976
40.5	953.1096
40.55	951.5856
40.6	950.3664
40.65	949.1472
40.7	948.8424
40.75	948.8424
40.8	947.928
40.85	947.3184
40.9	946.7088
40.95	946.0992
41	945.1848
41.05	945.1848
41.1	944.88
41.15	944.2704
41.2	943.6608
41.25	942.7464
41.3	941.832
41.35	941.2224
41.4	940.9176
41.45	940.0032
41.5	939.6984
41.55	939.0888
41.6	938.1744
41.65	937.8696
41.7	936.9552
41.75	936.3456
41.8	935.736
41.85	935.1264
41.9	934.8216
41.95	934.212
42	933.9072
42.05	932.9928
42.1	932.0784
42.15	932.3832
42.2	932.3832
42.25	932.0784
42.3	931.164
42.35	930.8592
42.4	930.5544
42.45	930.2496
42.5	929.3352
42.55	929.0304
42.6	928.4208
42.65	927.5064
42.7	926.8968
42.75	925.9824
42.8	925.6776
42.85	925.068
42.9	925.6776
42.95	926.592
43	928.4208
43.05	930.2496
43.1	931.164
43.15	931.164
43.2	931.164
43.25	929.64
43.3	927.8112
43.35	926.2872
43.4	924.4584
43.45	922.02
43.5	919.8864
43.55	918.972
43.6	918.0576
43.65	917.7528
43.7	917.448
43.75	916.5336
43.8	916.2288
43.85	916.5336
43.9	916.2288
43.95	916.2288
44	917.448
44.05	917.7528
44.1	918.0576
44.15	918.3624
44.2	917.448
44.25	916.2288
44.3	915.6192
44.35	914.4
44.4	911.9616
44.45	910.7424
44.5	909.5232
44.55	908.6088
44.6	907.3896
44.65	905.8656
44.7	905.5608
44.75	904.9512
44.8	904.9512
44.85	905.256
44.9	905.256
44.95	904.9512
45	904.3416
45.05	904.0368
45.1	904.0368
45.15	903.732
45.2	902.8176
45.25	902.5128
45.3	902.208
45.35	902.208
45.4	902.208
45.45	902.5128
45.5	902.8176
45.55	903.732
45.6	903.4272
45.65	903.732
45.7	902.5128
45.75	902.5128
45.8	901.5984
45.85	902.208
45.9	901.2936
45.95	900.684
46	900.684
46.05	900.0744
46.1	900.0744
46.15	899.7696
46.2	899.4648
46.25	898.8552
46.3	897.636
46.35	897.3312
46.4	896.112
46.45	894.8928
46.5	894.588
46.55	893.6736
46.6	893.064
46.65	892.4544
46.7	891.2352
46.75	890.016
46.8	889.4064
46.85	888.1872
46.9	886.6632
46.95	885.444
47	883.6152
47.05	883.0056
47.1	882.0912
47.15	881.1768
47.2	879.9576
47.25	879.348
47.3	879.348
47.35	878.1288
47.4	878.1288
47.45	878.7384
47.5	878.7384
47.55	878.7384
47.6	878.7384
47.65	879.348
47.7	879.6528
47.75	879.0432
47.8	880.2624
47.85	879.348
47.9	879.9576
47.95	879.9576
48	879.6528
48.05	878.7384
48.1	874.776
48.15	870.204
48.2	870.204
48.25	872.0328
48.3	872.9472
48.35	875.9952
48.4	876.6048
48.45	875.3856
48.5	875.0808
48.55	874.1664
48.6	872.6424
48.65	871.1184
48.7	869.8992
48.75	868.0704
48.8	867.156
48.85	866.5464
48.9	865.9368
48.95	864.7176
49	864.108
49.05	863.8032
49.1	862.584
49.15	862.2792
49.2	860.7552
49.25	860.1456
49.3	859.2312
49.35	859.2312
49.4	858.3168
49.45	857.7072
49.5	857.4024
49.55	856.7928
49.6	856.7928
49.65	856.1832
49.7	856.1832
49.75	854.3544
49.8	853.7448
49.85	853.44
49.9	853.1352
49.95	852.8304
50	851.916
50.05	851.0016
50.1	850.392
50.15	850.0872
50.2	849.7824
50.25	849.1728
50.3	849.4776
50.35	848.868
50.4	849.1728
50.45	849.1728
50.5	847.9536
50.55	846.4296
50.6	846.1248
50.65	846.1248
50.7	845.5152
50.75	843.6864
50.8	843.6864
50.85	842.772
50.9	842.772
50.95	841.8576
51	842.4672
51.05	842.4672
51.1	843.6864
51.15	845.5152
51.2	846.1248
51.25	847.344
51.3	847.6488
51.35	847.344
51.4	846.4296
51.45	844.9056
51.5	842.1624
51.55	840.0288
51.6	838.2
51.65	836.9808
51.7	835.7616
51.75	835.152
51.8	834.8472
51.85	833.9328
51.9	833.0184
51.95	832.7136
52	832.4088
52.05	833.0184
52.1	833.3232
52.15	833.0184
52.2	833.3232
52.25	833.9328
52.3	833.3232
52.35	832.7136
52.4	831.7992
52.45	830.8848
52.5	829.6656
52.55	828.4464
52.6	827.532
52.65	826.008
52.7	824.7888
52.75	824.1792
52.8	823.5696
52.85	823.8744
52.9	822.96
52.95	822.6552
53	822.6552
53.05	823.2648
53.1	822.6552
53.15	823.2648
53.2	823.2648
53.25	823.2648
53.3	823.5696
53.35	823.8744
53.4	823.8744
53.45	824.484
53.5	824.1792
53.55	823.8744
53.6	823.5696
53.65	823.5696
53.7	821.7408
53.75	820.8264
53.8	819.912
53.85	817.7784
53.9	816.5592
53.95	814.7304
54	812.5968
54.05	811.0728
54.1	809.8536
54.15	810.1584
54.2	809.5488
54.25	809.244
54.3	808.9392
54.35	808.0248
54.4	808.0248
54.45	807.1104
54.5	806.8056
54.55	806.5008
54.6	806.196
54.65	805.8912
54.7	805.2816
54.75	804.3672
54.8	804.0624
54.85	803.148
54.9	802.8432
54.95	802.2336
55	802.5384
55.05	802.2336
55.1	801.9288
55.15	801.3192
55.2	801.3192
55.25	800.7096
55.3	799.7952
55.35	799.1856
55.4	797.9664
55.45	797.3568
55.5	795.8328
55.55	794.6136
55.6	794.004
55.65	792.7848
55.7	792.48
55.75	791.8704
55.8	791.5656
55.85	791.2608
55.9	790.6512
55.95	790.3464
56	789.7368
56.05	789.432
56.1	789.432
56.15	789.1272
56.2	787.908
56.25	787.6032
56.3	787.6032
56.35	787.2984
56.4	787.2984
56.45	786.9936
56.5	786.0792
56.55	785.7744
56.6	784.86
56.65	784.86
56.7	783.6408
56.75	783.0312
56.8	782.4216
56.85	781.2024
56.9	780.8976
56.95	780.288
57	780.5928
57.05	780.8976
57.1	780.8976
57.15	782.7264
57.2	784.86
57.25	784.86
57.3	783.6408
57.35	781.5072
57.4	778.1544
57.45	776.0208
57.5	774.8016
57.55	774.4968
57.6	773.8872
57.65	772.9728
57.7	771.7536
57.75	771.4488
57.8	770.5344
57.85	769.9248
57.9	769.9248
57.95	768.7056
58	769.62
58.05	768.096
58.1	768.096
58.15	767.1816
58.2	766.2672
58.25	765.9624
58.3	766.2672
58.35	766.2672
58.4	766.8768
58.45	767.7912
58.5	769.0104
58.55	769.62
58.6	770.5344
58.65	770.2296
58.7	769.9248
58.75	769.62
58.8	768.096
58.85	766.572
58.9	765.048
58.95	763.524
59	761.6952
59.05	759.5616
59.1	758.6472
59.15	757.7328
59.2	756.8184
59.25	756.2088
59.3	755.5992
59.35	754.9896
59.4	754.38
59.45	754.0752
59.5	754.0752
59.55	753.7704
59.6	753.4656
59.65	753.4656
59.7	753.1608
59.75	753.4656
59.8	753.4656
59.85	752.856
59.9	753.4656
59.95	753.1608
60	752.856
60.05	752.5512
60.1	751.9416
60.15	751.332
60.2	750.4176
60.25	750.4176
60.3	748.8936
60.35	745.8456
60.4	742.7976
60.45	745.5408
60.5	745.236
60.55	744.6264
60.6	743.1024
60.65	742.4928
60.7	741.8832
60.75	741.2736
60.8	740.664
60.85	740.0544
60.9	739.14
60.95	738.8352
61	738.5304
61.05	737.9208
61.1	737.9208
61.15	737.0064
61.2	736.092
61.25	735.4824
61.3	734.2632
61.35	734.2632
61.4	733.6536
61.45	733.044
61.5	732.4344
61.55	732.1296
61.6	731.52
61.65	731.2152
61.7	730.9104
61.75	731.2152
61.8	731.52
61.85	731.52
61.9	732.1296
61.95	733.3488
62	734.568
62.05	734.568
62.1	734.568
62.15	734.568
62.2	734.8728
62.25	733.9584
62.3	733.044
