# RD-05 Stratologger 2016-05-06
# t(s)	h (m)
0	1.8288
0.05	1.2192
0.1	1.524
0.15	3.6576
0.2	3.3528
0.25	3.9624
0.3	5.1816
0.35	5.7912
0.4	6.4008
0.45	8.5344
0.5	8.5344
0.55	10.0584
0.6	10.668
0.65	13.4112
0.7	14.9352
0.75	16.4592
0.8	18.8976
0.85	20.4216
0.9	23.1648
0.95	25.6032
1	28.3464
1.05	31.0896
1.1	34.1376
1.15	37.4904
1.2	40.2336
1.25	42.9768
1.3	45.72
1.35	48.1584
1.4	50.5968
1.45	53.9496
1.5	56.6928
1.55	58.8264
1.6	62.1792
1.65	64.9224
1.7	67.9704
1.75	72.2376
1.8	76.5048
1.85	80.772
1.9	85.344
1.95	89.916
2	93.8784
2.05	97.8408
2.1	102.4128
2.15	108.204
2.2	113.3856
2.25	118.872
2.3	123.1392
2.35	129.2352
2.4	135.636
2.45	142.0368
2.5	146.6088
2.55	152.7048
2.6	157.5816
2.65	163.6776
2.7	169.7736
2.75	175.8696
2.8	182.2704
2.85	188.0616
2.9	195.072
2.95	201.7776
3	208.4832
3.05	214.2744
3.1	222.1992
3.15	230.124
3.2	236.5248
3.25	244.1448
3.3	251.7648
3.35	258.7752
3.4	266.7
3.45	272.796
3.5	282.2448
3.55	290.1696
3.6	299.0088
3.65	306.9336
3.7	313.6392
3.75	321.2592
3.8	329.184
3.85	337.4136
3.9	345.3384
3.95	353.568
4	362.1024
4.05	370.9416
4.1	379.1712
4.15	388.3152
4.2	396.5448
4.25	406.2984
4.3	416.6616
4.35	427.3296
4.4	437.0832
4.45	448.6656
4.5	457.8096
4.55	468.4776
4.6	476.7072
4.65	487.3752
4.7	497.7384
4.75	508.4064
4.8	517.8552
4.85	528.5232
4.9	538.2768
4.95	548.3352
5	560.2224
5.05	570.5856
5.1	581.5584
5.15	591.0072
5.2	601.3704
5.25	610.8192
5.3	618.744
5.35	629.7168
5.4	641.2992
5.45	652.272
5.5	661.416
5.55	669.9504
5.6	678.4848
5.65	689.4576
5.7	699.516
5.75	709.8792
5.8	720.852
5.85	732.1296
5.9	741.8832
5.95	750.7224
6	758.6472
6.05	768.096
6.1	777.8496
6.15	786.6888
6.2	796.4424
6.25	806.5008
6.3	814.7304
6.35	823.8744
6.4	833.9328
6.45	843.3816
6.5	852.8304
6.55	862.584
6.6	870.8136
6.65	879.6528
6.7	888.1872
6.75	896.7216
6.8	905.8656
6.85	915.6192
6.9	923.8488
6.95	931.7736
7	940.308
7.05	950.3664
7.1	959.5104
7.15	968.0448
7.2	976.884
7.25	985.1136
7.3	994.2576
7.35	1002.1824
7.4	1010.412
7.45	1018.3368
7.5	1025.652
7.55	1034.1864
7.6	1042.416
7.65	1051.2552
7.7	1060.3992
7.75	1068.6288
7.8	1077.7728
7.85	1085.088
7.9	1092.0984
7.95	1100.0232
8	1108.8624
8.05	1118.3112
8.1	1125.0168
8.15	1133.2464
8.2	1140.2568
8.25	1148.4864
8.3	1155.4968
8.35	1163.1168
8.4	1171.0416
8.45	1179.2712
8.5	1187.196
8.55	1194.5112
8.6	1202.7408
8.65	1210.9704
8.7	1218.2856
8.75	1225.296
8.8	1232.0016
8.85	1239.012
8.9	1246.9368
8.95	1253.9472
9	1261.2624
9.05	1269.1872
9.1	1276.1976
9.15	1283.208
9.2	1290.2184
9.25	1298.1432
9.3	1303.9344
9.35	1311.5544
9.4	1318.26
9.45	1324.9656
9.5	1332.5856
9.55	1339.9008
9.6	1346.6064
9.65	1353.9216
9.7	1360.3224
9.75	1366.7232
9.8	1374.0384
9.85	1380.744
9.9	1386.84
9.95	1394.46
10	1401.1656
10.05	1407.8712
10.1	1414.8816
10.15	1421.5872
10.2	1428.5976
10.25	1433.7792
10.3	1440.4848
10.35	1446.5808
10.4	1453.5912
10.45	1459.0776
10.5	1467.9168
10.55	1473.0984
10.6	1480.7184
10.65	1485.9
10.7	1493.2152
10.75	1498.7016
10.8	1503.8832
10.85	1510.5888
10.9	1516.9896
10.95	1523.6952
11	1530.7056
11.05	1536.192
11.1	1541.6784
11.15	1546.86
11.2	1553.8704
11.25	1559.3568
11.3	1565.4528
11.35	1570.3296
11.4	1577.0352
11.45	1582.5216
11.5	1588.9224
11.55	1593.4944
11.6	1599.5904
11.65	1605.0768
11.7	1610.868
11.75	1616.3544
11.8	1621.2312
11.85	1627.3272
11.9	1632.8136
11.95	1639.824
12	1646.5296
12.05	1650.7968
12.1	1655.9784
12.15	1661.7696
12.2	1666.6464
12.25	1672.4376
12.3	1677.0096
12.35	1682.8008
12.4	1687.6776
12.45	1692.8592
12.5	1698.9552
12.55	1703.2224
12.6	1708.404
12.65	1713.5856
12.7	1718.7672
12.75	1723.3392
12.8	1728.8256
12.85	1734.312
12.9	1738.884
12.95	1743.7608
13	1748.9424
13.05	1753.5144
13.1	1758.3912
13.15	1763.268
13.2	1768.4496
13.25	1773.3264
13.3	1777.5936
13.35	1782.4704
13.4	1787.0424
13.45	1792.8336
13.5	1797.7104
13.55	1801.9776
13.6	1806.5496
13.65	1810.8168
13.7	1815.9984
13.75	1821.7896
13.8	1824.8376
13.85	1829.7144
13.9	1833.6768
13.95	1837.3344
14	1842.8208
14.05	1847.6976
14.1	1851.66
14.15	1856.232
14.2	1859.8896
14.25	1864.7664
14.3	1868.7288
14.35	1872.0816
14.4	1876.6536
14.45	1880.9208
14.5	1885.4928
14.55	1889.1504
14.6	1893.1128
14.65	1897.6848
14.7	1901.3424
14.75	1905.6096
14.8	1909.572
14.85	1913.2296
14.9	1918.1064
14.95	1921.764
15	1925.7264
15.05	1929.0792
15.1	1933.3464
15.15	1936.6992
15.2	1940.6616
15.25	1944.3192
15.3	1948.2816
15.35	1951.6344
15.4	1955.9016
15.45	1959.864
15.5	1963.5216
15.55	1967.484
15.6	1970.8368
15.65	1974.4944
15.7	1977.5424
15.75	1980.5904
15.8	1983.3336
15.85	1987.6008
15.9	1990.6488
15.95	1994.3064
16	1997.3544
16.05	2001.3168
16.1	2003.7552
16.15	2006.4984
