# Atom GFRJ-UFRJ-Canalle-2018-8-20
# t(s)	h (m)	
0	1.2192
0.05	0.9144
0.1	3.048
0.15	2.7432
0.2	2.4384
0.25	3.6576
0.3	4.8768
0.35	4.8768
0.4	5.7912
0.45	7.0104
0.5	7.9248
0.55	8.2296
0.6	10.668
0.65	11.5824
0.7	13.716
0.75	15.24
0.8	16.4592
0.85	18.8976
0.9	21.0312
0.95	23.1648
1	26.2128
1.05	28.3464
1.1	31.0896
1.15	34.4424
1.2	36.8808
1.25	40.2336
1.3	42.9768
1.35	46.9392
1.4	50.292
1.45	53.0352
1.5	57.6072
1.55	61.5696
1.6	65.8368
1.65	69.4944
1.7	73.7616
1.75	77.4192
1.8	81.6864
1.85	86.2584
1.9	90.5256
1.95	94.7928
2	99.3648
2.05	103.9368
2.1	109.1184
2.15	112.776
2.2	117.348
2.25	122.5296
2.3	127.7112
2.35	133.5024
2.4	139.2936
2.45	145.0848
2.5	150.5712
2.55	156.3624
2.6	162.7632
2.65	169.164
2.7	175.8696
2.75	181.9656
2.8	188.3664
2.85	194.7672
2.9	202.0824
2.95	207.8736
3	214.884
3.05	221.8944
3.1	229.5144
3.15	236.8296
3.2	243.84
3.25	251.46
3.3	258.7752
3.35	266.7
3.4	274.32
3.45	281.94
3.5	289.8648
3.55	297.4848
3.6	305.4096
3.65	313.6392
3.7	321.564
3.75	330.0984
3.8	338.328
3.85	346.5576
3.9	355.092
3.95	363.3216
4	371.856
4.05	381
4.1	389.5344
4.15	398.6784
4.2	406.908
4.25	415.7472
4.3	424.2816
4.35	433.7304
4.4	442.5696
4.45	451.7136
4.5	460.8576
4.55	469.392
4.6	479.1456
4.65	487.9848
4.7	497.1288
4.75	505.968
4.8	513.2832
4.85	519.9888
4.9	528.2184
4.95	538.2768
5	547.7256
5.05	556.26
5.1	564.1848
5.15	573.3288
5.2	583.9968
5.25	595.5792
5.3	605.9424
5.35	614.172
5.4	621.4872
5.45	630.936
5.5	642.8232
5.55	654.1008
5.6	663.2448
5.65	669.9504
5.7	678.18
5.75	688.5432
5.8	698.6016
5.85	707.7456
5.9	716.28
5.95	724.5096
6	734.2632
6.05	744.6264
6.1	755.904
6.15	766.2672
6.2	774.192
6.25	781.2024
6.3	789.7368
6.35	798.8808
6.4	809.244
6.45	817.7784
6.5	827.2272
6.55	836.0664
6.6	845.5152
6.65	855.2688
6.7	865.632
6.75	875.6904
6.8	885.1392
6.85	894.2832
6.9	903.4272
6.95	912.2664
7	921.4104
7.05	931.4688
7.1	940.6128
7.15	948.5376
7.2	957.9864
7.25	965.9112
7.3	974.4456
7.35	983.5896
7.4	992.4288
7.45	1001.268
7.5	1009.8024
7.55	1018.6416
7.6	1028.3952
7.65	1036.32
7.7	1044.2448
7.75	1053.3888
7.8	1062.228
7.85	1069.848
7.9	1079.2968
7.95	1086.3072
8	1094.8416
8.05	1102.4616
8.1	1110.996
8.15	1119.2256
8.2	1127.76
8.25	1135.9896
8.3	1143.9144
8.35	1152.144
8.4	1160.3736
8.45	1168.6032
8.5	1176.8328
8.55	1185.0624
8.6	1193.292
8.65	1200.6072
8.7	1208.532
8.75	1216.4568
8.8	1223.4672
8.85	1231.6968
8.9	1238.4024
8.95	1247.2416
9	1253.9472
9.05	1261.872
9.1	1269.492
9.15	1277.4168
9.2	1284.4272
9.25	1292.6568
9.3	1299.972
9.35	1308.5064
9.4	1315.212
9.45	1322.832
9.5	1330.452
9.55	1336.8528
9.6	1344.4728
9.65	1351.788
9.7	1359.408
9.75	1367.028
9.8	1374.0384
9.85	1381.6584
9.9	1388.6688
9.95	1395.984
10	1403.2992
10.05	1410.6144
10.1	1417.0152
10.15	1424.6352
10.2	1431.036
10.25	1438.9608
10.3	1444.752
10.35	1452.0672
10.4	1458.7728
10.45	1465.4784
10.5	1472.184
10.55	1479.4992
10.6	1485.5952
10.65	1492.3008
10.7	1498.7016
10.75	1505.712
10.8	1512.1128
10.85	1517.904
10.9	1524.6096
10.95	1532.5344
11	1538.3256
11.05	1545.0312
11.1	1551.432
11.15	1557.8328
11.2	1564.8432
11.25	1570.6344
11.3	1576.7304
11.35	1583.1312
11.4	1589.2272
11.45	1595.9328
11.5	1601.4192
11.55	1607.82
11.6	1614.5256
11.65	1620.6216
11.7	1627.0224
11.75	1632.5088
11.8	1638.3
11.85	1644.0912
11.9	1649.8824
11.95	1657.1976
12	1662.9888
12.05	1668.78
12.1	1674.876
12.15	1680.6672
12.2	1687.3728
12.25	1692.2496
12.3	1698.9552
12.35	1704.7464
12.4	1710.2328
12.45	1715.7192
12.5	1721.8152
12.55	1726.9968
12.6	1733.0928
12.65	1737.9696
12.7	1743.7608
12.75	1749.8568
12.8	1755.648
12.85	1761.1344
12.9	1766.9256
12.95	1771.8024
13	1777.2888
13.05	1782.4704
13.1	1787.9568
13.15	1793.4432
13.2	1798.6248
13.25	1803.5016
13.3	1809.2928
13.35	1814.1696
13.4	1819.3512
13.45	1824.5328
13.5	1830.0192
13.55	1835.2008
13.6	1840.0776
13.65	1845.564
13.7	1849.8312
13.75	1855.3176
13.8	1860.4992
13.85	1865.0712
13.9	1870.2528
13.95	1875.4344
14	1880.3112
14.05	1885.188
14.1	1890.3696
14.15	1894.332
14.2	1898.904
14.25	1904.3904
14.3	1909.572
14.35	1913.8392
14.4	1919.0208
14.45	1923.8976
14.5	1928.1648
14.55	1932.1272
14.6	1936.6992
14.65	1941.2712
14.7	1945.5384
14.75	1951.0248
14.8	1955.292
14.85	1959.5592
14.9	1963.8264
14.95	1968.7032
15	1973.58
15.05	1977.5424
15.1	1981.5048
15.15	1986.3816
15.2	1990.0392
15.25	1994.3064
15.3	1998.5736
15.35	2002.8408
